City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,turi,40.9173,17.0212,288.17,73,0,3.09,IT,1699550500
170,lincheng,19.9078,109.6858,298.28,90,35,3.12,CN,1699550501
171,raceland,29.7274,-90.599,301.14,62,0,4.12,US,1699550353
172,belmonte,-15.8631,-38.8828,300.87,63,11,3.91,BR,1699550502
173,ciudad acuna,29.3232,-100.9522,295.31,88,75,4.63,MX,1699550503
174,kapuskasing,49.4169,-82.4331,272.15,86,100,5.66,CA,1699550131
175,junction city,39.0286,-96.8314,285.04,50,20,0.45,US,1699550505
176,beyneu,45.3167,55.2,284.81,56,100,7.29,KZ,1699550505
177,carnarvon,-24.8667,113.6333,293.6,75,72,9.92,AU,1699550024
178,auki,-8.7676,160.7034,298.2,90,95,3.12,SB,1699550507
179,mejit,10.2753,170.8646,300.68,80,100,9.32,MH,1699549685
180,dalandzadgad,43.5708,104.425,264.36,23,79,3.43,MN,1699550508
181,den burg,53.0542,4.7972,282.57,89,75,6.69,NL,1699550509
182,sheridan,44.8333,-106.9173,280.36,42,0,7.72,US,1699550510
183,newman,37.3138,-121.0208,287.17,53,9,0.94,US,1699550254
184,badger,64.8,-147.5333,276.1,60,100,4.63,US,1699550517
185,luderitz,-26.6481,15.1594,294.07,61,0,4.54,NA,1699550518
186,quellon,-43.1167,-73.6167,285.04,59,17,4.76,CL,1699550519
187,altai,46.3722,96.2583,261.72,89,95,1.73,MN,1699550485
188,ilulissat,69.2167,-51.1,271.16,74,75,5.14,GL,1699550112
189,nagqu,31.5,92.0,266.34,62,77,1.29,CN,1699550521
190,brookings,44.3114,-96.7984,280.62,55,75,7.72,US,1699550288
191,talcahuano,-36.7167,-73.1167,290.97,55,0,4.63,CL,1699550524
192,turpan,42.9333,89.1667,281.77,24,24,1.07,CN,1699550524
193,pechora,65.1472,57.2244,274.74,100,99,4.92,RU,1699550525
194,bumba,2.1833,22.4667,295.53,97,100,2.24,CD,1699550526
195,barauli,26.4,84.5833,294.85,51,0,1.53,IN,1699550527
196,castillos,-34.1667,-53.8333,292.77,40,3,4.19,UY,1699550527
197,new norfolk,-42.7826,147.0587,287.43,97,11,1.54,AU,1699549973
198,thompson,55.7435,-97.8558,266.24,79,100,4.63,CA,1699550251
199,ancud,-41.8697,-73.8203,286.16,57,46,2.52,CL,1699550275
200,bururi,-3.85,29.6333,289.61,87,73,1.35,BI,1699550530
201,childress,34.4264,-100.204,285.29,47,75,5.66,US,1699550531
202,okhotsk,59.3833,143.3,253.66,85,9,5.76,RU,1699550532
203,charters towers,-20.1,146.2667,292.58,86,7,3.47,AU,1699550284
204,marka,1.7159,44.7717,301.15,77,77,5.71,SO,1699550533
205,fort st. john,56.2499,-120.8529,271.09,86,75,4.63,CA,1699550333
206,zakynthos,37.7914,20.8953,291.28,72,40,0.0,GR,1699550535
207,oguta,5.7089,6.8103,300.44,80,88,3.09,NG,1699550536
208,shache,38.4167,77.2406,282.62,22,96,1.56,CN,1699550536
209,cannonvale,-20.2833,148.7,295.81,74,1,4.47,AU,1699550278
210,aldama,22.9167,-98.0667,300.65,86,96,2.22,MX,1699550538
211,general acha,-37.377,-64.6043,299.66,21,3,5.52,AR,1699550541
212,naze,28.3667,129.4833,296.66,78,73,4.14,JP,1699550249
213,stanley,54.868,-1.6985,279.7,86,20,1.54,GB,1699550087
214,tshabong,-26.05,22.45,304.47,11,0,3.59,BW,1699550545
215,tindouf,27.6711,-8.1474,303.4,17,5,1.54,DZ,1699550265
216,ciudad melchor muzquiz,27.8833,-101.5167,293.62,71,100,2.81,MX,1699550546
217,murzuq,25.9155,13.9184,298.48,19,100,3.21,LY,1699550547
218,virginia,37.5481,-77.4467,299.0,56,75,4.63,US,1699550460
219,eirunepe,-6.6603,-69.8736,309.01,38,95,1.33,BR,1699550549
220,constantia,44.1833,28.65,281.53,46,4,1.06,RO,1699550204
221,aasiaat,68.7098,-52.8699,268.43,76,99,4.57,GL,1699550133
222,mao,39.8885,4.2658,288.46,94,40,3.09,ES,1699550551
223,lihue,21.9789,-159.3672,298.92,75,75,9.26,US,1699550552
224,neyriz,29.1988,54.3278,288.8,27,0,1.04,IR,1699550553
225,omdurman,15.6445,32.4777,307.61,21,1,4.25,SD,1699550554
226,coronel dorrego,-38.7187,-61.2873,300.98,11,0,0.33,AR,1699550339
227,oriximina,-1.7656,-55.8661,309.01,36,6,3.63,BR,1699550555
228,st. john's,47.5649,-52.7093,280.36,98,100,7.72,CA,1699550187
